"","0_2021_Tagging to 1_2022_Overwintering","1_2022_Overwintering to 2_2022_Spring_Spawning","2_2022_Spring_Spawning to 3_2022_Oversummering","3_2022_Oversummering to 4_2023_Overwintering","4_2023_Overwintering to 5_2023_Spring_Spawning","5_2023_Spring_Spawning to 6_2023_Oversummering"
"79",0.483554527341507,6.05013044808311,NA,NA,NA,NA
"80",3.01164372427887,4.53716721986993,NA,NA,NA,NA
"81",24.6458840695989,1.99761285772566,26.8022405657137,24.1407849554349,4.06718166714352,27.9492229841892
"83",2.56741380346309,2.66741380346311,0.267263988950972,NA,NA,NA
"84",3.67604768843247,14.3378232966584,11.2633060794326,NA,NA,10.8130422481014
"85",109.136072485428,15.0151585044613,127.466965850825,NA,NA,133.855411881823
"86",18.3506271371023,1.19653162393886,0.0774320790439797,0.0601097654865844,0,0
"87",10.8728640895702,10.7728640895702,0.100000000000004,11.1015111215571,NA,NA
"88",0.514758366467206,0.0772844465914241,0.36314938562757,0.766153744023701,0.566153744023752,0.485864939036095
"89",11.9016170668983,12.0057931002872,0.796447272114434,0.463149385627545,0.0453040871615449,0.122588533752969
"91",44.8714865274334,0,48.1392008014419,NA,NA,NA
"92",6.30853513840069,10.4190148044743,22.922633551764,NA,NA,NA
"93",55.6714444759049,0.325641408881318,0.584376122132073,0.162522497784174,NA,NA
"94",0.963794251776094,12.5069469541927,29.9793715422713,17.1840217034337,12.547718648968,30.6063681947577
"95",0.973063384657758,10.6864489312695,17.451738596509,NA,NA,0.264017388199889
"96",0.417723539568659,NA,NA,NA,NA,NA
"97",3.32243299422086,7.39878388337124,8.76028328450789,NA,NA,NA
"98",13.203760390209,2.2642297293395,NA,NA,NA,NA
"99",10.9503931067995,54.6271165072812,65.9933715772228,0,0.100000000000011,0.0337949841511036
"100",0.315861963142104,2.74526000054169,2.61146501639058,0.330336327846364,0.260975698273756,NA
"101",NA,NA,NA,NA,NA,126.203796358121
"102",1.40572605686462,0,0.00447411868816516,NA,NA,NA
"103",1.62911873290764,1.56434890479122,4.70366781325159,3.80442981015615,2.29422963460342,NA
