"","Fish","Length_mm","n_surveys","homerange_km","cumuldist_km","winter22winter23_km","spring22spring23_km","summer21summer22_km","summer22summer23_km","summer21summer23_km","winter_section","spring_section","summer_section","winter_designation","spring_designation","summer_designation","mn_upstream_km","mn_winter_upstream_km","mn_spring_upstream_km","mn_summer_upstream_km"
"31",31,349,8,58.6050759467271,117.173853161147,NA,NA,0.0362987323072398,NA,NA,"Upper","Upper","Headwaters","Mainstem","Mainstem","Headwaters",445.262301109729,442.564651459364,417.545139570163,476.132066150737
"32",32,275,2,25.9857207988754,25.9857207988754,NA,NA,NA,NA,NA,"Upper",NA,"Headwaters","Mainstem",NA,"Headwaters",463.121056385145,450.128195985708,NA,476.113916784583
"33",33,330,12,94.9568589538961,251.364511334518,7.05132707944414,81.3366252558797,15.5568689681647,NA,NA,"Upper","Headwaters/Upper","Headwaters","Mainstem","Headwaters/Trib","Headwaters",445.754782439694,442.90663256905,448.938754225134,475.431926459733
"34",34,255,10,65.539025692721,65.9772257077713,5.19237567066066,NA,65.439992013149,NA,NA,"Upper","Upper","Headwaters/Upper","Mainstem","Mainstem","Headwaters/Mainstem",419.570675294913,413.488245156354,413.848619383062,443.711087007171
"35",35,295,13,25.418488513285,28.0862424363827,0.06608201026079,0.0922859253348261,25.1945803447463,0.0263157613100007,25.1682645834363,"Headwaters","Headwaters","Headwaters","Headwaters","Headwaters","Headwaters",454.443016533999,452.594727192853,452.673911160651,460.687250167822
"36",36,308,10,46.2476090672147,73.6261094432793,NA,24.3989605310914,19.3015794181879,NA,NA,"Upper","Headwaters/Upper","Headwaters","Mainstem","Headwaters/Mainstem","Headwaters",449.789337380993,431.227256076668,445.686790593883,467.824075434789
"37",37,283,13,130.838923773171,488.481784025664,0.894970175101527,3.69749492609166,0.097296077998054,32.690844117921,32.788140195919,"Middle","Middle","Headwaters/Upper","Mainstem","Mainstem","Headwaters/Mainstem",384.423192632796,344.192941416125,346.545669496285,463.47465274999
"38",38,346,13,63.6817510920607,248.294820816889,NA,1.68947586964846,0.236069548614278,0.12797904055565,0.108090508058629,"Upper","Upper","Headwaters","Mainstem","Mainstem","Headwaters",438.339696195294,410.209818901286,417.229170926509,473.543431546099
"39",39,332,6,62.8453052249473,95.8807180668868,NA,NA,NA,NA,NA,"Upper","Upper","Headwaters","Mainstem","Mainstem","Headwaters",436.096548006134,442.664651459364,409.152034812135,471.956491575961
"40",40,358,14,26.8145992794546,103.290854724863,1.56707023469475,4.11054539657285,0.331495806829358,0.058586395927774,0.272909410901584,"Upper","Headwaters","Headwaters","Mainstem","Headwaters","Headwaters",461.797184246118,445.648760991425,459.496719553771,471.478356747622
"41",41,338,13,33.7033759794008,68.3732190195096,NA,19.0332920751905,0,0.172738818214512,0.172738818214512,"Upper","Headwaters","Headwaters","Mainstem","Headwaters","Headwaters",460.941880149225,439.088631961652,462.236700160914,471.622245547461
"42",42,344,11,38.700022454972,140.011740029479,NA,2.21559060858717,0.291379143991637,0.496734572510492,0.205355428518856,"Upper","Upper","Headwaters","Mainstem","Mainstem","Headwaters",455.57778729088,446.247743691421,439.189160736311,471.044394389664
"43",43,290,6,2.58614828012926,5.08004861351537,NA,NA,0.0922479467431458,NA,NA,"Headwaters","Headwaters","Headwaters","Headwaters","Headwaters","Headwaters",463.207594860933,464.001340385564,462.238847396847,463.657624299472
"44",44,315,12,18.0303844303732,22.6743030362269,0.755442923622136,0.846756682579184,17.9947012034766,0.0356832268966273,18.0303844303732,"Headwaters","Headwaters","Headwaters","Headwaters","Headwaters","Headwaters",457.791787872467,457.574409114478,457.528752234999,459.369141774176
"45",45,325,12,50.1202692539282,121.147383290429,0.314499723675795,6.67766089472681,0.210893439602631,19.9139283314808,20.1248217710834,"Upper","Upper","Headwaters/Upper","Mainstem","Mainstem","Headwaters/Mainstem",446.807059109565,445.71070714824,441.75273506216,458.739826742256
"46",46,305,14,67.001845729809,256.435132359748,2.07264706731536,5.21130042179272,0.574824857951549,0.574824857951549,0,"Upper","Upper","Headwaters","Mainstem","Trib","Headwaters",441.168949038487,443.600974993022,418.123406458502,462.430455682831
"47",47,320,7,76.7288249732503,85.9854555385235,NA,60.1556297689809,23.4450290091768,NA,NA,"Upper","Headwaters/Upper","Headwaters","Mainstem","Headwaters/Trib","Headwaters",450.418189803931,450.58433472254,438.348256481685,462.80281127597
"48",48,307,6,73.0948634811926,112.304976783916,NA,NA,NA,NA,NA,"Upper","Upper","Headwaters","Mainstem","Trib","Headwaters",427.441998374167,415.262449651019,424.11734819643,465.518398479152
"49",49,381,12,90.0286274481429,344.821528394906,NA,6.65474356593697,0,0.661164755263838,0.661164755263838,"Upper","Upper","Headwaters","Mainstem","Trib","Headwaters",442.833159029001,415.702635231133,415.865421620912,486.935940735141
"50",50,280,12,31.7234211408996,37.2930033761538,22.8207653382276,11.4035502731762,31.7234211408996,1.52354529562861,30.199875845271,"Upper","Upper","Headwaters/Upper","Mainstem","Mainstem","Headwaters/Mainstem",434.191784592179,438.502279734848,432.063478616684,435.779659886148
