"","0 to 1","1 to 2","2 to 3","3 to 4","4 to 5","5 to 6","6 to 7","7 to 8","8 to 9","9 to 10","10 to 11","11 to 12","12 to 13","13 to 14"
"37",128.727294056476,1.06874428114402,0.10601542984871,0.783765996681515,2.86420902912406,18.7646114177341,107.425351724682,0.245211338448136,130.593712434723,NA,NA,NA,3.17417299095804,93.7772296211802
"38",61.1736891677662,2.27464349593798,0.233418428356499,0.646164341824331,5.76186817693082,24.0108848689931,33.1239391556781,0.0971749999799486,0.302041878047663,NA,NA,NA,5.07435641539035,55.4761521955984
"39",NA,NA,1.11632681398682,32.3962898332423,0.0408484611205695,33.0354128419395,NA,NA,NA,NA,NA,NA,NA,NA
"40",20.5995283821505,6.21507089730412,0.919908609268168,15.7668577687116,3.75551278749171,5.59625143684229,0.0512495504971675,0.495822420808679,0.444572870311511,24.471460367619,NA,NA,8.16014508395724,5.80532380318889
"41",32.6611709287223,0,0.0699777368425516,8.80331940818726,4.82810275347905,20.001976080892,1.04220505067856,0.172738818214512,0.396864121246732,NA,NA,NA,0,0.246259863191651
"42",NA,NA,0.689761496792523,4.57088337102385,4.28525638517235,5.47428892515855,38.700022454972,0.496734572510492,0.0770834334236797,NA,NA,NA,NA,NA
"43",NA,NA,0.136800146622785,2.58614828012926,0.686855144790159,1.37265292925316,NA,NA,NA,NA,NA,NA,NA,NA
"44",16.3561192053396,0.75041925395665,0.923845971077007,0.755442923622136,0.755442923622136,0.755442923622136,0.719759696725509,NA,NA,0.291493533656545,NA,NA,NA,0.846756682579184
"45",NA,NA,0.299893746802164,7.75394614208387,23.015775389573,22.9157753895729,26.9936004247526,0.0426216773068663,19.7114260758398,NA,NA,NA,0.302011198544972,0.302011198544972
"46",17.2736215227699,0.327927347398283,1.83396732101824,34.2311930021679,7.54901125671051,25.3385765333131,35.8771439167516,0.574824857951549,18.1763737281197,2.07264706731536,NA,NA,40.2347853754322,66.4270208718575
"47",17.5252959899432,0.21553358174587,0.671672318577905,7.41732387927563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,0.790813257114187,11.5792624233289,10.4688389726173,39.2101133027232,NA,NA,NA,NA,NA,NA,NA,NA
"49",68.0177260923407,2.99519115991343,0.100000000000032,15.6397469729097,2.61479846771514,14.0159479440727,75.3515147488063,0.351131462333308,29.2147286654022,NA,NA,NA,NA,NA
"50",5.53365491453417,0.974441563042385,NA,NA,5.36469242768909,6.07967828931539,NA,NA,2.31533363540134,0.0792256896941653,1.88219802598448,NA,NA,0.140820443828316
"51",3.92708248239898,3.06559525603309,0.861487226365897,0.0990333298642433,1.28168819376716,0.684419979234622,0.363252341697606,0,0,0.321167637537016,NA,NA,0.0922859253348261,0.0774069209525514
"52",2.96044468184715,3.55194672568522,2.22773560416177,2.75307013590711,1.3602045092795,0.522560783385168,0.351179625201176,0.334042299508364,0.868234630895314,8.08822764616939,NA,NA,0.41425550834676,0.700100929091815
"53",NA,NA,0.160962018714958,0.0602056188220495,NA,NA,0.334042299508364,0.0922859253348261,0.363252341697606,0.285845420745055,0.543201765480156,0.0495116473719145,0.144768814217603,NA
"54",12.1417284555018,1.4388136530102,0.219804217882486,32.9631599408041,8.95073099100019,7.29979508862863,87.4732878405662,0.290262355881002,24.6310419863828,25.1561646917174,NA,NA,12.8916915890974,88.0029807681853
"55",NA,NA,1.52110402038498,21.3562956890227,6.0321768284932,19.6990199862333,32.9511513271905,1.84874867564132,NA,NA,NA,NA,NA,NA
"56",NA,NA,1.57388493369832,2.30472804824396,1.28414442247922,3.9173106566351,7.80915293620674,0.573533396232209,7.56753162023185,2.36692232389256,NA,NA,4.57061196456874,6.70977954464122
"57",NA,NA,0.904819018141097,5.63642637300015,1.33250478646724,7.98726172491965,2.81399223536533,0.779908850628859,1.95485738329892,12.379451326097,NA,NA,3.47745462089841,NA
"58",NA,NA,NA,2.50322070634213,0,14.7833406538579,NA,NA,NA,NA,NA,NA,NA,NA
"59",11.6275885700964,0.0246994362873702,0.0999999999999909,20.9437254933627,10.7537476154385,14.9440934008585,28.4370643384005,0.0783283949676036,0,NA,NA,NA,NA,NA
"61",0.727636316101079,0.420091507028803,0.0846581029846243,1.44569920490221,1.78129494388097,0.558482445066412,0.0228867060875818,0.100000000000054,0,0.930221944370896,NA,NA,0.797674803104609,0.704749610013497
"62",2.74856899151202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2.34440600828678,0.100000000000129,1.69447531895521,3.86884284023833,39.4074567419124,38.7043374170992,81.1319129911017,0.102907352022845,0.18381581909709,0.397806051803087,0.473293241448921,NA,NA,NA
"64",NA,NA,0.578045484398236,1.1410158955507,0.419202303539928,0.718739122860368,1.34055271487111,1.14101589555064,0.0995368193205386,0.0999999999999336,0.199536819320472,0.129106343007948,0.162612143509523,0.191718486517502
"65",8.48015756220925,1.1080432060363,1.15150017219285,0.8927654589421,0.202234152355612,0.330860993173588,0.229731294419489,1.09612931005184,0.512509935758973,NA,NA,NA,0.484090736859618,0.680080588145282
"66",NA,NA,0.204592157931322,12.079098423673,1.88640006175718,9.62908078095564,0.563617580960201,1.41880093072505,0.755183349764764,NA,NA,NA,0.100000000000013,0.287845143934444
"67",0.213511484092101,1.30824756124374,0.995702981021925,0.151073000738395,0.194494282930827,0.650135697352702,0.650135697352702,0.725256800726062,0.175121103373343,NA,NA,NA,0.550135697352718,0.258540257358676
"68",16.5197428785913,0.369545150948526,1.60819176154949,10.9842723208199,1.03692446983063,4.27614832360869,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,0.562314804518213,0.694442148974731,11.2276470701239,0.755183349764764,16.3139224335525,0.0254402174269198,NA,NA,NA,NA,NA,NA
"70",0.345567283669223,0.995702981021925,0.138188871927645,1.03389185294956,2.24425312446532,2.82283503197171,0.824149191175606,1.00883598201145,0.755239333761701,0.153596648249801,0.445567283669166,0.100000000000013,0.0510730007383827,0.194494282930827
"71",NA,NA,1.01190955254269,4.87726669739296,NA,NA,21.4515031027294,0.172254138996883,13.226981947111,NA,NA,NA,33.9990012391004,NA
"72",NA,NA,0.346789746781251,NA,NA,3.76905508716854,45.3697640039606,0.76469807563374,54.6117904361641,NA,NA,NA,26.1481709283985,19.9848697881786
"75",NA,NA,0,5.84869702592543,14.3126968139644,12.7801395707876,0,1.24097355229307,0.337869747663949,NA,NA,NA,27.3278604063834,27.2547058724205
"76",NA,NA,NA,0.159895948449561,0.0408484611205695,0.295714789700314,0.496459199270445,0.243367650612689,0.243367650612689,0.327462361027036,NA,NA,0.279926037861374,0.0991011984275883
"78",NA,NA,0.119163605075206,NA,NA,0.00202372020210714,NA,NA,NA,NA,NA,NA,NA,NA
"79",0.605617556117821,0.122063028776314,0.122063028776314,6.17219347685943,0.100000000000009,NA,NA,NA,NA,NA,NA,NA,NA,NA
